#word,meaning,option1,option2,option3
银,silver,shiver,silvery,killer
感谢,gratitude,latitude,platitude,urge
奢侈,luxury,usury,augury,weighing every word
有教养的,polite,politic,palate,pollute
临终,dying,intranquil,be a mass of bruises,suffer injuries 
新近,newly,rely,lowly,jelly
悲痛,sadness,harness,hardness,grieve
诱骗,trap,wrap,trade,oral
赞成,approve,approval,improve,reprove
使具有资格,qualify,nullify,quality,quantify
狂怒,rage,rave,irate,vase
繁殖,reproduce,produce,lay ,breeding
人口,population,modulation,remainder,long range
社交,social,special,facial,local
命令,prescribe,describe,proscribe,publicize
老板,boss,bosh,toss,bole
自发,spontaneous,made in one's own country,spare time,inappropriate
石油,petroleum,kerosene,gas,alcohol
不安定的,restless,gloomy,sorrowful,take on a mental burden
螺母,nut,bout,hut,tug
懊悔,regret,secret,beret,retreat
产量,yield,gild,shield,wield
支持,encourage,entourage,courage,be situated 
洞穴,cave,pave,cafe,raze
乐事,pleasure,leisure,please,pressure
经理,manager,manage,hanger,danger
倒坍,collapse,collate,hail,candour
黑人,Negro,ego,zero,aggro
取舍,alternative,sampling,seed collecting,lighting
财富,wealth,stealth,wealthy,heath
看不见的,invisible,visible,divisible,invincible
说明,illustrate,omen,it can clearly be seen,depend upon
价格,cost,cant,cent,host
范围,sphere,scheme,severe,shire
展现,reveal,repeal,revel,revert
杂草,weed,vend,weep,heed
知觉,consciousness,malice,soul,real situation
最小,minimum,minibus,minimal,maximum
所谓,so-called,so-called,clear,signify
目的地,destination,base,gap,site
资源,resource,renounce,recourse,source
通过,via,viola,boa,gin
有利,beneficial,to  control,insuperable,harmful
遍及全球,world-wide,bawl,offer,visualize
基本,basic,baste,basin,basis
船费,fare,fame,sake,dare
主要,principal,principle,to be indifferent,it doesn't matter
跳过,jump,slump,burp,judo
清白,innocent,indolent,insolent,indecent
猜想,infer,inner,linger,inform
热情,enthusiastic,atmosphere,frantic,be concerned about face-saving
访问者,visitor,visor,visit,vision
承认,recognize,criticism,publicly known,lash
海军的,naval,nasal,natal,novel
继续进行,proceed,process,cancel,new
永久,permanent,pertinent,a long time,all
嘿,well,sell,wall,bell
售货员,salesman,talesman,statesman,accounting
短上衣,jacket,racket,casket,bucket
有价值的,valuable,invaluable,palpable,voluble
搬运工人,porter,portly,patter,pointer
升降机,elevator,elector,elevate,elevation
四十,forty,foray,forth,lofty
欺骗,deceit,detect,defect,recent
涨潮,flow,flaw,cow,flog
装载量,burden,murder,burn,harden
卵石,pebble,rabble,feeble,bubble
用拳猛击,punch,peach,pouch,lunch
新鲜,fresh,press,flesh,rest
出于理性,rational,national,ration,atonal
修补,mend,menu,ten,mound
图,graph,grate,grape,grand
手段,means,trump card,jugglery,attack by a hidden enemy
翻译,translate,modern language version,translate and edit,braid
间接,indirect,indict,direct,misdirect
船队,fleet,fee,feed,flee
奇迹般的,marvelous,host,lair,appendage
瞳孔,pupil,pail,quail,puppy
耳机,phone,phoney,hone,prove
段,paragraph,passport,license,part
用,employ,employee,employer,imply
插头,plug,bug,plan,lug
一轮,round,rotund,around,young
设备,equipment,converter,manger,server 
管子,pipe,hide,wipe,jibe
边缘,margin,bargain,jargon,virgin
教养,culture,nurture,capture,cultural
平静,smooth,shoot,scoot,south
把…编结,knit,not,it,kit
注意,attentive,retentive,attention,compassion
语法上的,grammatical,convivial,inveigh,parallel
公分,centimetre,square ,gather up,ounce
责任,responsibility,vote,inheritance,copyright
妨碍,interfere,intercede,interface,intervene
橙,orange,change,arrange,range
先令,shilling,American dollar,counterfeit currency,ingot
网络,network,outwork,hook,spider web
浴室,bathroom,washroom,bathrobe,bank
重力,gravity,granite,gratify,brevity
发明,invention,intention,inversion,injection
说谎的人,liar,lab,loan,sir
静的,static,statical,stain,state
恢复,restore,retire,respire,restart
大学,university,diversity,school,high and middle
国际,international,foreign ,federation,country
直到最近,up-to-date,before Christ,dynasty,medieval
少数,handful,mindful,heedful,hateful
火鸡肉,turkey,survey,murky,turret
刺耳,harsh,earth,hare,garish
雇员,employee,employer,employ,employee
认真,earnest,harvest,garnet,arrest
林荫道,avenue,venue,avenge,revenue
时常发生,frequent,request,frequency,bush
部分,partially,partial,partiality,diverse
碎片,piece,pieces,rice,pipe
加拿大,Canada,Argentina,Libya,Zambia
醋,vinegar,linear,vineyard,sinless
蜡,wax,lap,jaw,wan
物质,substantial,thing,guest,natural science
澳大利亚,Australian,Switzerland,Algeria,Vietnamese
酒精,alcohol,alcoholic,gas,tar
部落,tribe,pride,tripe,strike
奇怪,queer,sneer,queen,quest
喧闹,noisy,daisy,joist,noise
后悔,repent,repeat,rodent,recent
立即,instantly,instant,as quickly as possible,day by day
应受,deserve,reserve,desire,desert
吼,roar,goat,dear,oar
次序,order,under,elder,dryer
在别处,elsewhere,always,appease,citron
通路,passage,massage,postage,wastage
抚恤金,pension,tension,person,mention
剃刀,razor,mayor,major,orator
必要,essential,urgent,amiable,to joke
实施,apply,apple,appal,poly
迫使,oblige,beige,online,obligate
集体,collective,corrective,collection,more or less open
幸运,fortunate,formulate,fortune,suffer
地区,district,distract,distrust,distinct
饥荒,famine,examine,fine,marine
感官,sense,senile,tense,senate
闪耀,flare,pare,glaze,glare
人类,mankind,unkind,someone who plays a part,oneself
追赶,chase,shame,chafe,case
容易,ease,crease,east,cast
烦扰,bother,mother,border,rather
使痛心,hurt,hut,urn,hers
周长,circumference,arch,all,four-way
和谐,accordance,trouble,symmetry,equilibrium
微薄,slender,calender,gender,fender
风筝,kite,skit,rice,site
例外,exception,reception,deception,perception
相符合,correspond,ingenuous,temper,billet
流行性感冒,flu,club,flute,flea
哀痛,mourn,mound,modern,urn
缝补,needle,nestle,needy,beetle
弯腰,stoop,snoop,stow,stool
把…隐藏起来,conceal,congeal,concede,concert
移动,movement,pavement,moment,monument
粗的,coarse,hoarse,course,cause
地下铁路,subway,sway,runway,mockery
狐狸,fox,foe,for,fob
爱人,beloved,belated,medium,hero
劣质,cheap,ahead,heap,creep
使纯净,purify,purity,pacify,putrefy
指定,assign,align,design,resign
曲线,curve,curse,carve,verve
供给,supply,supple,sully,apply
积,product,protect,produce,predict
空洞,hollow,wallow,holler,fellow
发表,publish,punish,rubbish,public
广阔,extensive,excessive,expensive,expansive
无容置疑,undoubtedly,no longer,a moment ago,assure
声音,sound,send,mound,unsound
数,count,pout,jaunt,gout
劫掠,robbery,jobbery,robber,rubber
稳定,steadily,readily,steady,peace and security
责备,blame,glaze,blast,lane
奇数,odd,odds,old,ford
蒸发,evaporate,elaborate,singe,flaming
呻吟声,moan,moon,loan,man
草莓,strawberry,apple,grape,pineapple
因素,factor,fact,factory,pastor
陈述,statement,treatise,record,relate
欧洲,European,Europe,outskirts,Middle East
用洗发剂洗,shampoo,webbed,laborious,nomadic
力学,mechanics,mechanize,mechanic,mechanical
使颤动,vibrate,irate,vitiate,migrate
肤浅,superficial,tender,tough,stable
呼吁,appeal,appal,appear,repeal
选举,elect,fleet,let,erect
痛的,sore,bore,more,gore
少女,maid,pain,aid,main
表明,proclaim,reclaim,symbol,root 
很少,rarely,early,barely,rally
牧羊人,shepherd,hunter,woodman,groom
汽车,auto,act,judo,hut
一定,certainly,certainty,certain,life insurance
展览会,exhibition,conference,a sports competition,discussion forum
弱点,weakness,defensive ,benefit,selfish interest
许可,permission,percussion,emission,remission
占,occupy,occult,occur,pardon
险峻,steep,peep,keep,sheet
精神,spiritual,silence,brave-looking,stun
叶轮机,turbine,urine,turning,turban
收受者,receiver,received,receive,recover
意外的,accident,ancient,accidental,incident
在…的那边,beyond,belong,second,bond
侮辱,insult,insert,consult,insist
大概,probable,probably,improbable,probate
照着,accordingly,radiation,shine,to radiate
同盟,league,eagle,ledge,plague
克,gramme,grade,grape,trammel
系统,system,oyster,sister,stem
离开,quit,quid,quiz,quilt
过程,process,profess,prowess,recess
教授,professor,processor,profess,profession
冷颤,shiver,shave,shaver,sever
消遣,pastime,pasture,paste,pantile
工程师,engineer,engine,engender,technician
完全,full,fill,pull,poll
卷,coil,recoil,cost,cod
障碍物,obstacle,cultural relic,as a whole,prey
王国,realm,ream,real,realty
唱,sing,sling,swing,wing
鬼魂,ghost,hoot,most,guest
请求,request,bequest,quest,inquest
终有一死,mortal,portal,formal,moral
珍视,treasure,treasury,treasurer,reassure
力学,mechanical,mechanics,technical,mechanic
堂兄弟,cousin,coin,coffin,consign
忧虑,anxious,envious,noxious,pain
祖母,grandmother,maternal grandmother,father-in-law,father
荒谬,ridiculous,a slip of a pen,shoot with great precision,collapse of itself
招待会,reception,retention,perception,deception
结合,combination,stand like the three legs of a tripoid,connected by air, sea traffic or service,to go into effect
协会,union,unify,onion,unison
保卫,protect,project,protract,potent
危险,risk,fist,mask,pick
忍受,suffer,buffer,duffer,coffer
降低,drop,fop,top,dog
路线,way,may,say,nay
附上,enclose,enclosure,close,encase
当代,contemporary,beginning of an era,medieval,contemporary
连续不断,continuous,contiguous,continuously,always
活力,activity,acidity,nativity,activist
周围的事物,surroundings,premise,way of life,phenomenon
成就,achievement,to implement,tarry,finalize a manuscript, text, etc.
拉紧,tense,teaset,tease,tenure
报酬,reward,rear,coward,upward
不需要的,needless,heedless,needle,seedless
供应,accommodate,to want,supply,tit for tat
瞪眼,glare,game,glade,glaze
必然,necessary,accessary,necessity,definitely
给…权利,entitle,entice,title,entity
居住于,inhabit,inhibit,cohabit,inherit
损害,damage,homage,amaze,savage
所有,ownership,to issue,hold,forward
批判,criticism,criticize,to criticize,take the blame
校正,adjust,adult,dust,readjust
蚊子,mosquito,honor,fussy,wiry
束,beam,weal,bead,belt
同事,colleague,college,to goof off,undertake to perform work within a time limit and according to specifications
关押,imprison,prison,imprison,to search a house and confiscate possessions
创造性的,creative,relative,curative,create
空的,vacant,vacancy,recant,savant
腕,wrist,whilst,waist,riot
打滚,tumble,stumble,tussle,tube
供养,support,seaport,purport,sport
疑心,suspicion,suspicious,admire,trusted aide
呼啸,scream,cream,spread,stream
不吉,unlucky,traitor,ladder,starch
兽群,herd,end,hertz,tend
正式,formal,format,normal,mortal
额外,extra,extract,extol,entry
演出,performance,abortion,dispense,juggle
装备,equip,sequin,quip,equine
汽油,petrol,petrel,patrol,peril
防务,defence,defense,deface,offence
主要,mostly,mosey,costly,misty
逃跑,flight,blight,light,alight
治理,harness,hardness,sadness,harass
减,minus,mine,min,bonus
明确,definite,indefinite,definitive,infinite
谜,riddle,middle,addle,twiddle
有暴风雨,stormy,steamy,story,storey
结合,complex,couple,compile,complete
混合物,mixture,moisture,fixture,texture
炉,oven,even,when,oval
狡猾,cunning,turning,burning,inning
暂借,loan,boat,lean,long
运动,campaign,convection,tide,pour
音乐,musical,medical,musician,music
快乐,cheerful,heedful,extremely,to the satisfaction of everyone
激流,torrent,torment,orient,current
徒劳,vain,pain,win,ruin
害怕,fear,flat,dear,near
施用,application,use on,to distinguish,recognize
海港,seaport,deport,report,export
恼火,mad,bed,tan,mask
背心,vest,pest,sect,vent
居住,resident,president,reside,residency
蒸发,steam,steady,tea,stream
说明,illustration,to come from ,state clearly,it could even be said
坟,tomb,town,thumb,dumb
稍微,slightly,purely,in spite of,more than
松树,pine,pink,file,bin
本旨,substance,float,groove,luxuriance
解开,loosen,loose,woolen,wooden
细目,point,print,pant,pint
被发现的事物,discovery,discover,hardness,misdirect
内,interior,interim,inferior,anterior
橡皮,rubber,robber,jabber,jobber
不象…,unlike,like,online,manlike
谢罪,apologize,analogize,to abdicate,to yield
公制,metric,emetic,matrix,merit
显微镜,microscope,microscope,scrubbing brush,prism
并联,multiple,multiply,cyber-,parallel connection
工作台,bench,blanch,bunch,bend
位较高,senior,censor,sector,sensor
宽厚,generous,onerous,cruelty,numb
贝壳,shell,shed,skill,shall
环形物,ring,hinge,sin,wind
环境,setting,mood,premise,way of life
夫人,mistress,distress,stress,listless
破片,fragment,raiment,figment,fragrant
现实,reality,legality,realty,readily
技术,technique,capability,literary or artistic talent,ability
染,dye,dose,daze,bye
放弃,resign,reign,design,assign
使松弛,relax,relate,lax,relay
一熟,crop,crap,prop,chap
证明…是正当的,justify,justice,mystify,testify
有技能的,skilled,skill,killer,switch to a job one was not trained for
隐蔽,secret,secrecy,sect,secrete
发射,transmit,transit,transfix,transact
第一,first,fist,fiat,fight
第十二,twelfth,sixteenth,millions,seventh
抵挡,withstand,washstand,defend,immunity
子夜,midnight,white night,day and night,very late at night
甜的,sweet,sleet,speed,set
冒险,adventure,adventurer,denture,venture
领域,province,provide,prince,political and government circles
东方国家,oriental,pigtail,compost,solitary
胡须,beard,heart,dead,board
盒,case,cast,cease,base
马克思主义的,Marxist,nark,accusative,canister
合乎体统,proper,draper,pamper,primer
拨,dial,doll,disk,vital
表示,express,empress,cypress,excess
训练,discipline,take lessons after school or work,to prepare lessons,education
住处,dwelling,starting point,location,polling station 
几乎不,scarcely,scarcity,scarce,graze
障碍物,dam,day,dais,at
型,pattern,batter,tatter,battery
采用,adopt,adept,admit,afoot
零钱,change,charge,chance,cage
豆,bean,bead,beat,leak
信封,envelope,antelope,envelop,stationery
慈悲,mercy,merge,merry,jerky
典型,typical,topical,lyrical,atypical
覆盖,cloak,coat,cork,look
不一样的,diverse,diverge,adverse,reverse
分离,separately,to have a reunion,to collect,leave one's native place 
闪,flash,slash,gash,crash
适合,fit,mitt,it,pit
线,string,strong,stringy,strife
哼,groan,roan,glean,goad
含糊,hesitate,meditate,estate,testate
黄铜器,brass,brash,base,class
栅栏,fence,defence,sense,fine
枝节,detail,derail,retail,detain
混和,blend,send,band,lend
想不到的,unexpected,unexpectedly,about,insufficient
宇宙航行员,astronaut,aviator,chauffeur,helmsman
最后,ultimate,ultimatum,estimate,intimate
记录,record,accord,second,recorder
奇迹,miracle,circle,manacle,mirage
叛徒,traitor,trailer,tractor,trainer
使溶解,dissolve,dissolute,pistol,measure
重复,repetition,reputation,petition,already
在前,former,forbear,forge,forget
矛盾,contradiction,both can be implemented without coming into conflict,furnish,to provide
说明,state,estate,spate,stale
疯狂,crazy,raze,craze,crank
打赌,bet,wet,belt,tot
形成物,formation,oration,diction,buffer
九月,September,January,seventh month,November
针脚,stitch,hitch,snatch,stretch
建造,construction,to change,start building,lay a foundation
致命,deadly,dearly,early,dead
抽屉,drawer,draper,dryer,diaper
排队等候,queue,quake,quire,query
滑橇,ski,sea,sky,skill
宗教,religion,relation,revision,region
旋转,rotary,roar,notary,rotate
专家,specialist,speciality,socialist,specialize
多泥,muddy,caddy,muddle,musty
文学,literature,literate,fable,scriptures
层,layer,lawyer,aver,dryer
闪闪发光,glitter,litter,fitter,titter
原子,atom,tomb,storm,ado
浪漫,romantic,peace and security,whoredoms,chastity
评价,value,clue,volume,tale
体力,muscle,tussle,rustle,muffle
缺陷,defect,defeat,reflect,eject
可能存在,possible,possibly,impossible,passable
天鹅,swan,awn,sway,swab
美的,beautiful,beautify,gorgeous,old
结果,effect,expect,elect,affect
紧急情况,emergency,emergent,emergence,aspire
目标,target,turret,carpet,large
处理,disposal,dispose,retail,transfer 
滑,slide,oxide,slice,vide
最初,original,criminal,origin,originate
不鲜明的,dull,dunk,mall,dell
驾驶,steer,sheer,shear,sneer
事件,occurrence,recurrence,official business,commercial affairs
二十,twenty,testy,tenth,tent
令人沮丧,gloomy,goody,gloom,glory
风味,flavour,motive,philately,imply 
治理,government,excavate,telemetry,take readings
有礼貌的,gracious,veracious,fractious,voracious
器官,organ,orgy,ordain,organic
佣人,servant,verdant,fervent,sextant
音乐家,musician,musical,magician,sculptor
胜,prevail,retail,unreasonable,clever
家庭主妇,housewife,symposium,omniscient,tie
农业,agriculture,mining industry,army and government,telecommunications
活泼,brisk,bribe,drink,rick
台风,typhoon,tycoon,icicle,iceberg
完成,achieve,thieve,active,routine
好感,favour,intuition,sight,dislike
砰的一声,pop,pot,pep,top
求助,resort,report,record,retort
技能,skill,still,skulk,drill
警报,alarm,glare,apart,flare
暂时,temporary,temporal,real time,cold
桃子,peach,teach,preach,beach
籽,seed,seedy,geld,semen
电,electricity,kinetics,psychology,astronomy
蓓蕾,bud,mum,bunk,bug
医学,medical,radical,medieval,medicinal
羊群,flock,hock,unlock,fleck
硬币,coin,cog,coffin,loin
接着,following,easily,no more,when all is said and done
优越,superior,fig.: flamboyant,won't do,despicable
贫民窟,slum,plum,album,slut
翻译,translation,modern translation,translate and edit,to excerpt
特权,privilege,privileged,obligation,authority over the household
比赛,race,brace,grace,gape
停止,cease,vase,tease,decease
尴尬,awkward,backward,award,unfavorable
争论,debate,depute,abate,debase
电影院,cinema,lineman,club ,museum
入侵,invade,inhale,intake,invite
文明,civilization,enthusiastic,superficial,impatience
匙,spoon,swoon,stoop,spook
使优美,polish,relish,modish,polite
汽车,automobile,automotive,sea-going vessels,schooner
象,elephant,elegant,memoir,seduce
收回,recall,recast,real,retail
关心,care,cane,cart,name
牺牲,sacrifice,starvation,get killed,die
严肃,seriously,oversensitive,strained,no good
许多,lot,jolt,cop,flop
习惯,custom,customer,castor,accustom
人生观,philosophy,suicide,political views,treasure
习俗,convention,convection,confection,invention
使僵硬,stiffen,stifle,stiff,appraise
全部,entire,satire,entice,venture
减轻,relief,review,belief,reef
相当,fairly,more than,even more,rather
有礼貌地,gently,gentle,gantry,gentry
立即,immediate,mediate,not the only,hastily
结果是,follow,fallow,hollow,hallow
唯一,unique,antique,pique,undue
制造商,manufacturer,investor,manufacturing company,peddler
气魄,spirit,spurt,spit,skirt
板球,cricket,trinket,rickety,crochet
同志,comrade,compare,corrode,courage
荣誉的事,glory,galore,glow,gloomy
航行,sail,tail,fall,ail
考试,examination,end of term examination,test,to train
容忍,patience,patient,not let off easily,what a pity
护照,passport,password,festival,license plate
化学制品,chemical,comical,clerical,emporium
遮蔽物,veil,vein,mail,vile
电视机,television,wireless,phonograph,movable pulley
因而,thus,those,taut,tug
公害,hazard,lizard,hard,halyard
稳固,steady,study,stead,steamy
当时,meantime,No. 1,temporary,as early as possible
重要,noticeable,notifiable,elation,inexpensive
放大,enlarge,engage,large,enrage
招待设备,accommodation,democrat,berserk,money
理智,mind,mix,ring,minus
登记,entry,penury,gentry,try
几何,geometry,discount,efficiency,growth rate
吊死,hang,hank,pan,hag
宴会,dinner,winter,winner,runner
可见,visible,disable,divisible,virile
亲爱,dear,peak,weir,weak
诅咒,curse,cure,course,curio
试验,test,bet,detest,fist
半径,radius,Ladies,radish,radio
行为,act,hat,lace,aid
毁灭,destruction,perish,to restore,prevail
生物体,organism,organic,orgasm,organist
斜坡,incline,incite,recline,online
指数,index,infer,indent,idea
事件,incident,incipient,incidence,ancient
评奖团,jury,buoy,hurl,guy
犯罪,crime,prim,rim,prima
非同寻常,extraordinary,base,outrageous,matchless
尖声喊叫,shriek,shrivel,shrink,shred
婚约,contract,contrast,contact,construct
凶猛,fierce,pierce,farce,piece
瀑布,waterfall,shower,vestige,mineral spring
罗盘,compass,company,compose,compare
容积,bulk,tusk,bill,back
政策,policy,police,polite,polish
语态,voice,police,void,price
具体,specific,pacific,specify,unmistaken
十一月,November,last month,ninth month,fifth month
各自,respective,interactive,personally,synchronous
偶然,occasional,occasion,really isn't,odd
易识破的,transparent,pretence,summit,nosedive
声调,tone,love,mole,zone
落后,lag,law,wig,flap
坦白,frank,flank,prank,crane
薄片,slice,solace,slide,spice
脆的,brittle,little,bristle,belittle
创作,compose,impose,compost,compote
国家,national,rational,nation,optional
由铁路运输,railroad,dumpy,devout,zest
朴素,simple,nimble,pimple,ripple
烟雾,smog,so,smug,flog
自私,selfish,relish,just and fair,uncorrupted
白兰地酒,brandy,granny,bandy,dandy
装配,assemble,assembler,assembly,dissemble
不理,ignore,snore,gore,ignite
业余爱好,hobby,hubby,cabby,hobble
专断,arbitrary,arbitrate,arbitrage,counter-revolutionary
维生素,vitamin,vitamin,medicine,tonic
火山,volcano,volcanic,territorial waters,Emei Mountains
习惯,accustomed,to be afraid,confused,neglect
反抗,oppose,opposite,suppose,depose
成交,bargain,barmaid,brain,barman
利用,utilize,utility,to know what's what,differentiate
胜利,victory,factory,vector,history
展览馆,museum,muse,art gallery,museum
干扰,interaction,infuriate,to bar the way,vex
芦杆,reed,pallet,muff,slavery
改变,vary,harry,harp,park
举止,behavior,defect,movement,household duties
狼,wolf,wilt,wold,self
渐进,gradual,graduate,cause to develop,corruption
纤维,fibre,flare,jibe,figure
宣,swear,wear,spear,steal
幕,curtain,sustain,curtail,contain
造反,rebellion,rebellious,flatten,to liberate
市镇,town,ton,bow,gown
坚持,consistent,insistent,to consider,guess
摆动,vibration,liberation,migration,to tremble
赤裸,bare,beret,bile,here
不时,sometimes,sometime,take the lead ,connection
安全,safety,surety,salty,satiety
残骸,wreck,trick,speck,rack
靴子,boot,poet,shoot,fort
活下来,survive,survival,strive,service
求婚,proposal,propose,appointment,flirt
饲养员,keeper,beeper,sweeper,helper
流行,fashionable,hereditary,join,rumor
同谋,accessory,accessary,project,abandoned idea
纸烟,cigarette,cigar,tobacco,marijuana
扣紧,button,buttock,bottom,baton
神经,nervous,ferrous,fervour,serious
碰撞,collision,collusion,coalition,receive
一套公寓房间,apartment,department,bolster,patient
掌状物,palm,palmy,psalm,pare
旅游者,tourist,nourish,tourism,jurist
后果,outcome,line of reasoning,evil,to originate
紧握,grip,grin,whip,gripe
找出,locate,loathe,donate,late
飞机,airplane,airlane,biplane,airline
一群,troop,crook,brood,roof
口哨,whistle,whittle,wrestle,bristle
系,department,deportment,apartment,onward
吵闹,loud,clod,lot,void
卖,sell,swell,heel,seam
画廊,gallery,galley,alley,raillery
不同,differ,duffer,diaper,buffer
羡慕,admire,attire,aspire,dire
横条,rail,sail,trail,boil
使猛撞,dash,trash,hush,mash
吹响,blow,slow,row,low
打,strike,strict,striker,spike
脏的,dirty,dry,ditty,forty
可使用的,operational,admonish,appraisal,sacrifice
争论,conflict,convict,inflict,criticize
臂,limb,climb,lamb,lion
弄湿,bathe,lithe,lathe,mate
加热,heating,to iron,to make a fire,nice and warm
猎物,game,gale,gaff,frame
回旋,whirl,whip,wail,hurl
地位,status,stature,state,statue
装置,furniture,assemble and install,architecture,pave
香肠,sausage,salvage,haulage,savage
可恨,hateful,hopeful,grateful,shameful
一帮,gang,gag,wand,slang
条,bar,may,boat,tax
强度,intensity,size,illumination,level
反驳,refute,rebuke,refine,refuse
跛子,cripple,crinkle,ripple,triple
矿,mine,monk,nine,dine
水壶,kettle,settle,settler,gentle
决定,determine,surpass,restrict at,restrict
某地,somewhere,southeast,colony,northwest
分解,analyse,analyst,analysis,to leave one's comments
外衣,overcoat,overcast,overload,overcome
讲台,platform,spire,altar,your
完成,finish,famish,finite,furnish
不能令人满意的,unsatisfactory,towel,eyesore,growth
填塞,pad,wad,law,cat
冒险,venture,feature,censure,tenure
债务,debt,deem,derv,debit
清醒,sober,hover,cover,lower
地基,foundation,ground,beam,Windows 
欣喜,rejoice,rejoin,to the satisfaction of everyone,grovel
行骗,cheat,sheaf,wheat,chess
爱慕,affection,affliction,infection,conviction
图表,diagram,to key in,postscript,summary
角,angle,mangle,haggle,bangle
地窑,cellar,cellular,pillar,teller
雄的象,bull,fuel,ball,bugle
使陷入,plunge,lunge,prune,lung
相应,corresponding,left over,to exist,convenient for
战胜,defeat,defect,detect,defer
短而硬的毛,bristle,gristle,brittle,bridle
遭遇,encounter,counter,give something and get something in return,to enjoy 
团体,organization,board of directors,information agency,committee
供应,furnish,burnish,furbish,varnish
定义,definition,definitive,derogatory sense,meaning
大量,ton,boon,on,town
建筑学,architecture,physics,virology ,architecture
结构,structure,stricture,structural,theatrical troupe
惊人,surprisingly,urgent,secondary,scratching the surface
传播,spread,spear,speed,screed
放任,overlook,overwork,overload,to puzzle
援救,rescue,recur,reside,resume
村舍,cottage,courage,montage,hostage
打听,inquire,enquire,inquirer,inspire
使转变,convert,convent,covert,concert
抓紧,grasp,grade,gross,grant
可能,possibility,need not,all of a sudden,contingency
祖宗,ancestor,ancestry,investor,peer
屠夫,butcher,pitcher,bother,ditcher
记者,journalist,journalism,the author,maternal grandmother
文职,civil,cavil,devil,vivid
精神,soul,foul,jowl,scowl
统治,govern,modern,cover,lover
削尖,sharpen,sharper,smarten,share
变化,variation,narration,radiation,vacation
环境,environment,atmosphere,dreamland,phenomenon
凶暴的人,dragon,paragon,flagon,dragoon
反应快的,swift,sift,suit,shaft
使习惯,accustom,custom,recess,lingua
船厂,dock,pock,duck,dose
硬膏,plaster,planter,poster,easter
使误入岐途,mislead,misread,mislay,misdeal
编制,compile,comply,compiler,compose
裁缝,tailor,sailor,tail,traitor
破除,conquer,conquest,concur,conqueror
不规则的,irregular,regular,dab,webbed
教室,classroom,lavatory,darkroom,box 
蝴蝶,butterfly,bumblebee,spider,fiery dragon
减小,reduction,seduction,induction,deduction
促动,motivate,mitigate,activate,mutilate
字母表,alphabet,squeal,woodpecker,outlive
使失望,disappoint,disbelieve,landlord,call
终于,eventually,eventual,assure,inevitably
浆湖,paste,pasty,palate,pate
嘴唇,lip,slit,lie,kin
下垂,sink,monk,line,sack
探险,explore,implore,export,expose
相当大的,considerable,capitate,Eucharist,vermin
最近,lately,likely,lonely,rarely
瓜,melon,mean,felon,heron
饿,hunger,hinge,hanger,anger
程序,procedure,procure,framework,phase
发生者,generator,generate,generation,neither
全部,wide,rider,wad,hide
投资额,investment,vestment,ration,variable
青年们,youth,out,mouth,couch
乳制品,dairy,diary,lair,marry
机会,opportunity,at the same time,common,turn for the better
浴,bath,balk,bare,bask
水星,Mercury,perjury,mercury,variable star
出现,emerge,merger,merge,emergent
柠檬,lemon,semen,legion,demon
扇子,fan,rag,far,don
使受伤,wound,wheelchair,kid,spoilsport
送信者,messenger,passenger,cook,to light a fire
虫,worm,norm,sort,roam
郊区,skirt,squirt,spire,skit
工程,engineering,post and telecommunications,banking,nuclear engineering
水银,mercury,Mercury,perjury,mercy
维持,maintenance,to back,remain,to be
一条,item,itch,stem,idem
像,resemble,assemble,excess,just like
目的,goal,coal,foal,loll
有影响的,influential,immutable,unemployed,cathedral
因此,hence,whence,thence,lance
重要的,significant,poetry,telegraphy,salutation
热情,flame,flare,aflame,frame
现金,cash,cart,rush,crash
加强,reinforce,enforce,to improve,weaken
哄骗,trick,trip,trim,trunk
核,nucleus,nuclear,whereas,principal
战略,strategy,stately,strategic,profitable
俄罗斯的,Russian,tenacious,gallant,trite
搜寻,hunt,rut,funk,hut
击,hit,hire,if,hip
名声,fame,game,age,race
德意志,Germany,German,Kuwait,Italian
胆怯,timid,limpid,vivid,limit
发动,launch,lunch,brunch,ranch
惩罚,punishment,reprimand,reach a conclusion,convict 
丢脸的人,dishonour,tradition,veer,misinform
通讯,communicate,biography,poem,notes
实验室,laboratory,lounge,Great Hall of the People, at Tiananmen Square,bathroom 
发表,emit,remit,wait,slit
歌剧,opera,omega,pert,overt
舞台布景,scenery,celery,scene,sentry
温柔,mild,sill,field,wield
无知,ignorant,ignorance,ripe,smatterer
孙女,granddaughter,granddaughter,niece ,granddaughter
四轮马车,carriage,marriage,cartilage,cartridge
破晓,dawn,day,awe,warn
水果,fruit,fruity,fit,grit
相互,mutual,actual,ritual,usual
容忍,tolerate,tolerable,operate,tollgate
同窝幼鸟,brood,blond,blood,broad
西北,northwest,southwest,northeast,north and south
拧紧,screw,unscrew,chew,strew
正午,midday,mislay,midway,midden
批评家,critic,clinic,crisis,cryptic
南方,southern,northern,southerly,on top of
源泉,fountain,mountain,contain,power source
黄的,yellow,elbow,allow,fellow
德性,goodness,goddess,poorness,godless
极度痛苦,agony,ebony,among,gong
在头顶上,overhead,overhear,overload,overseas
推论,deduce,deduct,denude,seduce
通常,normally,not follow the beaten track,first-class,can
不积极的,indifferent,waddle,ufo,broody
听者,listener,fastener,listen,tenant
眼镜,spectacle,telescope,sunglasses,concave lens
击,knock,knoll,cock,hock
